window_start,window_end,masked_text,a1_len,a2_len,shift_norm,attribution,elapsed_s
-1,-1,(baseline),150,781,11.640423484931388,0.0,64.09
0,64,Current focus: Stabilize the Orange rotation while fully enablin,158,792,14.3503,8.8308,40.63
32,96,nge rotation while fully enabling Hermes MCP toolset and 1‑hour ,157,217,6.508,10.962,29.51
64,128,"g Hermes MCP toolset and 1‑hour cache, finalize ghost‑service au",157,653,10.277,10.1388,64.64
96,160,"cache, finalize ghost‑service audit, and embed drift‑recognition",162,162,3.4105,11.249,24.86
128,192,"dit, and embed drift‑recognition memory to keep directives balan",159,704,11.9489,7.9581,64.49
160,224, memory to keep directives balanced.\n\nGoal: Maintain critical ro,162,725,13.1196,8.2999,54.38
192,256,ced.\n\nGoal: Maintain critical rotation safety while confirming H,91,270,9.175,12.6707,31.71
224,288,"tation safety while confirming Hermes toolset functionality, com",157,206,6.6649,11.9216,31.05
256,320,"ermes toolset functionality, completing the ghost‑service audit,",149,580,14.7007,8.0861,34.32
288,352,"pleting the ghost‑service audit, preserving drift‑recognition sa",91,273,10.0246,12.6029,28.8
320,384," preserving drift‑recognition safeguards, and keeping the 7‑minu",157,685,11.4449,7.6019,45.84
352,416,"feguards, and keeping the 7‑minute nudge cadence within the 1‑ho",153,713,13.3969,6.7438,41.84
384,448,te nudge cadence within the 1‑hour cache window.\n\nKey entities: ,124,1394,12.2682,15.0113,66.3
416,480,"ur cache window.\n\nKey entities: Nate (0.93), Hermes (0.88), mcp ",157,449,13.1083,10.7816,39.57
448,512,"Nate (0.93), Hermes (0.88), mcp (0.75), feedback_drift_recogniti",156,213,9.8615,13.9684,21.39
480,544,"(0.75), feedback_drift_recognition.md (0.7), reference_cache_pos",152,121,10.1535,10.3135,18.05
512,576,"on.md (0.7), reference_cache_posture.md (0.68), ghost_service_au",153,213,8.8115,12.1235,24.97
544,608,"ture.md (0.68), ghost_service_audit (0.65), thread_318 (0.6)\n\nRe",82,81,6.4392,13.1496,18.38
576,640,"dit (0.65), thread_318 (0.6)\n\nRecent events: [13:06] directive(p",82,165,8.2737,12.5154,23.82
608,672,cent events: [13:06] directive(p5): Sweet!; [13:06] directive(p5,157,764,12.5871,8.2973,37.34
640,704,5): Sweet!; [13:06] directive(p5): What do you need to advance t,148,1229,11.2528,10.3523,64.45
672,736,"): What do you need to advance the thread? If your stuck, how do",157,175,5.3845,12.0922,26.7
704,768,"he thread? If your stuck, how do we work around it or adjacent t",91,427,12.2295,10.3382,25.82
736,800, we work around it or adjacent to it.  We should probably have m,155,507,9.6341,8.1846,33.51
768,832,o it.  We should probably have multiple probes of projects going,150,675,13.7811,7.3431,46.91
800,864,ultiple probes of projects going.  Doesnt make a whol l; [13:06],91,805,16.2558,11.3186,41.22
832,896,.  Doesnt make a whol l; [13:06] directive(p5): As long as it is,157,903,12.277,7.8561,53.41
864,928," directive(p5): As long as it is coherent to you, thats ok.  I w",146,186,7.6102,8.2955,26.69
896,960," coherent to you, thats ok.  I was just curious in case i could ",91,910,16.3758,11.2929,44.66
928,992,as just curious in case i could help.  I think right now 12:37 P,91,718,15.637,11.1277,47.74
960,1024,"help.  I think right now 12:37 PM, we should get back into caden",150,629,13.4897,7.333,44.45
992,1056,"M, we should get back into cadence, your wide open with what you",90,250,10.7394,12.9323,24.71
1024,1088,"ce, your wide open with what you wan; [13:06] Bennett/Suzuki ""Th",91,303,9.9163,12.5304,25.54
1056,1120," wan; [13:06] Bennett/Suzuki ""The Autopoietic Theorem"" read in f",91,1061,15.4311,10.4895,48.23
1088,1152,"e Autopoietic Theorem"" read in full (TAT.pdf, Nate-supplied). My",139,202,8.8722,9.8514,26.57
1120,1184,"ull (TAT.pdf, Nate-supplied). My 04:05 premise-guess was ~60% ri",91,492,13.6983,10.9221,26.39
1152,1216, 04:05 premise-guess was ~60% right. Recalibrating.; [13:00] dir,149,567,10.7062,8.5339,60.82
1184,1248,ght. Recalibrating.; [13:00] directive(p5): Sweet!; [13:00] dire,91,272,9.0876,12.5282,22.08
1216,1280,ective(p5): Sweet!; [13:00] directive(p5): What do you need to a,90,679,14.4547,10.9471,39.79
1248,1312,ctive(p5): What do you need to advance the thread? If your stuck,149,588,13.6872,6.9447,32.08
1280,1344,"dvance the thread? If your stuck, how do we work around it or ad",91,668,14.8862,10.7329,34.63
1312,1376,", how do we work around it or adjacent to it.  We should probabl",91,532,15.5155,10.8589,25.94
1344,1408,jacent to it.  We should probably have multiple probes of projec,91,397,11.9811,10.2,24.47
1376,1440,y have multiple probes of projects going.  Doesnt make a whol l;,91,541,14.3155,10.2075,27.48
1408,1472,ts going.  Doesnt make a whol l; [13:00] directive(p5): As long ,149,645,13.0822,7.4274,27.38
